IDlist,CONCEPT,FORM,ID,NOTES,DOCULECT
1,mother,sɨhɨ,375,,jami11
2,"mother!, mom!",$,,,jami11
3,father,sutu,376,,jami11
4,"father!, dad!",$,,,jami11
5,"son/daughter, child",sēhe,377,,jami11
6,son,$,,,jami11
7,daughter,$,,,jami11
8,cross-sex sibling,$,,,jami11
9,brother of man,yan̄i,378,,jami11
10,sister of woman,kuhu,379,,jami11
11,aunt,chishi,380,,jami11
12,uncle,shító,381,,jami11
11,man,ra-yɨɨ,382,,jami11
12,woman,ñāhā,383,,jami11
13,"owner, boss",chi-toho,384,,jami11
14,priest,sutu,385,,jami11
15,blood,nɨñɨ,386,,jami11
16,bone,$,,,jami11
17,hair,īshī,387,,jami11
18,face,nuu,388,,jami11
19,tongue,$,,,jami11
20,tooth,$,,,jami11
21,mouth,yūhū,389,,jami11
22,ear,$,,,jami11
23,nose,shityin,390,,jami11
24,neck,$,,,jami11
25,hand,ndāhā,391,,jami11
26,fingernail,$,,,jami11
27,back,chata,392,,jami11
28,stomach,chīchi,393,,jami11
29,"intestine, guts",$,,,jami11
30,foot,chaha,394,,jami11
31,"disease, illness, sickness",kwehe,395,,jami11
32,medicine,tatan,396,,jami11
33,swelling,$,,,jami11
34,pimple,$,,,jami11
35,pus,$,,,jami11
36,urine,$,,,jami11
37,cloth,sāhmā,397,,jami11
38,"sandal, sandals",$,,,jami11
39,pants,$,,,jami11
40,"blouse, woven blouse",$,,,jami11
41,town,ñuu,398,,jami11
42,house,vēhē,399,,jami11
43,"road, trail",ītyī,400,,jami11
44,post,$,,,jami11
45,"mat, sleeping mat, straw mat",$,,,jami11
46,bed,$,,,jami11
47,chair,tyayu,401,,jami11
48,animal,kɨ̄tɨ̄,402,,jami11
49,bird,$,,,jami11
50,fish,tī-yaka,403,,jami11
51,snake,$,,,jami11
52,frog,$,,,jami11
53,hawk,tású,404,,jami11
54,scorpion,tī-suhma,405,,jami11
55,cockroach,$,,,jami11
56,grasshopper,$,,,jami11
57,bee,$,,,jami11
58,"mouse, rat",$,,,jami11
59,deer,isu,406,,jami11
60,squirrel,$,,,jami11
61,skunk,$,,,jami11
62,opossum,tɨ̄-maha,407,,jami11
63,raccoon,$,,,jami11
64,rabbit,kūñēshú,408,Sp. conejo,jami11
65,vulture,$,,,jami11
66,dog,ina,409,,jami11
67,cat,chúmī,410,,jami11
68,rooster,lóhó,411,,jami11
69,hen,$,,,jami11
