ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
4494	alac11	MOTHER	madre	si’í	si’í	1	1216	NA	NA	zylstra2012gramatica	NA
1005	alac11	MOTHER	mother	sīhí	sīhí	1	1216	NA	NA	zylstra1991syntactic	NA
4495	alac11	MOTHER VOCATIVE	mamá!	nana	nana	2	NA	NA	NA	zylstra2012gramatica	NA
1006	alac11	MOTHER VOCATIVE	mother!, mom!	nāná	nāná	2	NA	NA	NA	zylstra1991syntactic	NA
4496	alac11	FATHER	padre	yivá	yivá	3	1217	NA	NA	zylstra2012gramatica	NA
1007	alac11	FATHER	father	yīvā	yīvā	3	1217	NA	NA	zylstra1991syntactic	NA
4497	alac11	FATHER VOCATIVE	papá!	tata	tata	4	NA	NA	NA	zylstra2012gramatica	NA
4498	alac11	CHILD (DESCENDANT)	hijo/hija	sa̠’ya	sa̠’ya	5	1801	NA	NA	zylstra2012gramatica	NA
1008	alac11	CHILD (DESCENDANT)	son/daughter, child	sāhya	sāhya	5	1801	NA	NA	zylstra1991syntactic	NA
6340	alac11	CHILD (DESCENDANT)	hijo/hija	saʔya	saʔya	5	1801	NA	NA	josserand1983mixtec	NA
4499	alac11	CROSS-SEX SIBLING	hermana/hermano de otro genero	ki̠’va̠	ki̠’va̠	8	NA	NA	NA	zylstra2012gramatica	NA
1009	alac11	CROSS-SEX SIBLING	cross-sex sibling	kīhvā	kīhvā	8	NA	NA	NA	zylstra1991syntactic	NA
4500	alac11	BROTHER (OF MAN)	hermano de hombre	ñani	ñani	9	559	NA	NA	zylstra2012gramatica	NA
1010	alac11	BROTHER (OF MAN)	brother of man	ñānī	ñānī	9	559	NA	NA	zylstra1991syntactic	NA
6462	alac11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6461	alac11	BROTHER (OF MAN)	hermano de hombre	ya̧ni̧	ya̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
4501	alac11	SISTER (OF WOMAN)	hermana de mujer	ki̠’vi̠	ki̠’vi̠	10	NA	NA	NA	zylstra2012gramatica	NA
1011	alac11	SISTER (OF WOMAN)	sister of woman	kihvi	kihvi	10	NA	NA	NA	zylstra1991syntactic	NA
4502	alac11	AUNT	tía	sisi	sisi	11	1272	NA	NA	zylstra2012gramatica	NA
1012	alac11	AUNT	aunt	sīsī	sīsī	11	1272	NA	NA	zylstra1991syntactic	NA
4503	alac11	UNCLE	tío	sito	sito	12	1327	NA	NA	zylstra2012gramatica	NA
1013	alac11	UNCLE	uncle	sītō	sītō	12	1327	NA	NA	zylstra1991syntactic	NA
4504	alac11	MAN	hombre	ta̠a	ta̠a	13	1554	NA	NA	zylstra2012gramatica	NA
1014	alac11	MAN	man	taā	taā	13	1554	NA	NA	zylstra1991syntactic	NA
6574	alac11	MAN	hombre	taa	taa	13	1554	NA	NA	josserand1983mixtec	NA
4505	alac11	WOMAN	mujer	ña’a̠n	ña’a̠n	14	962	NA	NA	zylstra2012gramatica	NA
1015	alac11	WOMAN	woman	ñáha	ñáha	14	962	NA	NA	zylstra1991syntactic	NA
1016	alac11	OWNER	owner, boss	shi-tóhó	shi-tóhó	15	1036	NA	NA	zylstra1991syntactic	NA
6702	alac11	OWNER	dueño	šito	šito	15	1036	NA	NA	josserand1983mixtec	NA
6789	alac11	OWNER	sacerdote	sùtù	sùtù	15	1036	NA	NA	josserand1983mixtec	NA
4506	alac11	PRIEST	sacerdote	su̠tu̠	su̠tu̠	16	852	NA	NA	zylstra2012gramatica	NA
1017	alac11	PRIEST	priest	sutu	sutu	16	852	NA	NA	zylstra1991syntactic	NA
6875	alac11	BLOOD	sangre	yii	yii	17	946	NA	NA	josserand1983mixtec	NA
4508	alac11	BONE	hueso	leke	leke	18	1394	NA	NA	zylstra2012gramatica	NA
1018	alac11	BONE	bone	yīki	yīki	18	1394	NA	NA	zylstra1991syntactic	NA
4509	alac11	HAIR	pelo	yisi̠	yisi̠	19	1040	NA	NA	zylstra2012gramatica	NA
1019	alac11	HAIR	hair	īsí	īsí	19	1040	NA	NA	zylstra1991syntactic	NA
4510	alac11	FACE	cara	no̠o̠	no̠o̠	20	1560	NA	NA	zylstra2012gramatica	NA
1020	alac11	FACE	face	noo	noo	20	1560	NA	NA	zylstra1991syntactic	NA
2170	alac11	TONGUE	tongue	láà	láà	21	1205	NA	NA	durr1987preliminary	NA
4511	alac11	TOOTH	diente	no’o̠n	no’o̠n	22	1380	NA	NA	zylstra2012gramatica	NA
6995	alac11	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380	NA	NA	josserand1983mixtec	NA
4512	alac11	MOUTH	boca	yu’u̠	yu’u̠	23	674	NA	NA	zylstra2012gramatica	NA
1021	alac11	MOUTH	mouth	yūhu	yūhu	23	674	NA	NA	zylstra1991syntactic	NA
2189	alac11	MOUTH	mouth	yūʔù	yūʔù	23	674	NA	NA	durr1987preliminary	NA
4513	alac11	EAR	oreja	so̠’o	so̠’o	24	1247	NA	NA	zylstra2012gramatica	NA
1022	alac11	EAR	ear	sohō	sohō	24	1247	NA	NA	zylstra1991syntactic	NA
2201	alac11	EAR	ear	sòʔō	sòʔō	24	1247	NA	NA	durr1987preliminary	NA
7177	alac11	EAR	oreja	sòʔo	sòʔo	24	1247	NA	NA	josserand1983mixtec	NA
7293	alac11	NOSE	nariz	siti̧	siti̧	25	1221	NA	NA	josserand1983mixtec	NA
7294	alac11	NOSE	nariz	sitni̧	sitni̧	25	1221	NA	NA	josserand1983mixtec	NA
7410	alac11	NOSE	cuello	siko̧	siko̧	25	1221	NA	NA	josserand1983mixtec	NA
4514	alac11	HAND	mano	nda’a̠	nda’a̠	27	1277	NA	NA	zylstra2012gramatica	NA
1023	alac11	HAND	hand	ndāha	ndāha	27	1277	NA	NA	zylstra1991syntactic	NA
2212	alac11	HAND	hand	ⁿdàʔā	ⁿdàʔā	27	1277	NA	NA	durr1987preliminary	NA
4515	alac11	FINGERNAIL	uña	chíi̠n	chíi̠n	28	1258	NA	NA	zylstra2012gramatica	NA
2223	alac11	FINGERNAIL	fingernail	číì	číì	28	1258	NA	NA	durr1987preliminary	NA
7524	alac11	FINGERNAIL	uña	čí̧ì̧	čí̧ì̧	28	1258	NA	NA	josserand1983mixtec	NA
4516	alac11	BACK	espalda	sa̠ta̠	sa̠ta̠	29	1291	NA	NA	zylstra2012gramatica	NA
1024	alac11	BACK	back	sata	sata	29	1291	NA	NA	zylstra1991syntactic	NA
4517	alac11	BELLY OR STOMACH	panza, barriga	ti̠xin	ti̠xin	30	2114	NA	NA	zylstra2012gramatica	NA
1025	alac11	BELLY OR STOMACH	stomach	tishīn	tishīn	30	2114	NA	NA	zylstra1991syntactic	NA
4518	alac11	FOOT	pie	xa̠’a̠	xa̠’a̠	32	1301	NA	NA	zylstra2012gramatica	NA
1026	alac11	FOOT	foot	shaha	shaha	32	1301	NA	NA	zylstra1991syntactic	NA
2246	alac11	FOOT	foot	šàʔà	šàʔà	32	1301	NA	NA	durr1987preliminary	NA
7761	alac11	FOOT	pie	šàʔà	šàʔà	32	1301	NA	NA	josserand1983mixtec	NA
4519	alac11	DISEASE	enfermedad	kue̠’e̠	kue̠’e̠	33	1986	NA	NA	zylstra2012gramatica	NA
1027	alac11	DISEASE	sickness	kwehe	kwehe	33	1986	NA	NA	zylstra1991syntactic	NA
