ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
1	abas11	MOTHER	madre	nana	nana	1	1216	NA	NA	galindo-sanchez2009vocabulario	NA
2	abas11	MOTHER VOCATIVE	mamá!	ma	ma	2	NA	yes	Spanish	galindo-sanchez2009vocabulario	NA
3	abas11	FATHER	padre	tata	tata	3	1217	NA	NA	galindo-sanchez2009vocabulario	NA
4	abas11	FATHER VOCATIVE	papá!	paa	paa	4	NA	yes	Spanish	galindo-sanchez2009vocabulario	NA
5	abas11	SON	hijo	se’e	se’e	6	1620	NA	NA	galindo-sanchez2009vocabulario	NA
6	abas11	DAUGHTER	hija	sesi’i	se-si’i	7	1357	NA	NA	galindo-sanchez2009vocabulario	NA
7	abas11	CROSS-SEX SIBLING	hermana/hermano de otro genero	kua’à	kua’à	8	NA	NA	NA	galindo-sanchez2009vocabulario	NA
8	abas11	BROTHER (OF MAN)	hermano de hombre	ñani	ñani	9	559	NA	NA	galindo-sanchez2009vocabulario	NA
9	abas11	SISTER (OF WOMAN)	hermana de mujer	ku’u	ku’u	10	NA	NA	NA	galindo-sanchez2009vocabulario	NA
10	abas11	AUNT	tía	xixi	xixi	11	1272	NA	NA	galindo-sanchez2009vocabulario	NA
11	abas11	UNCLE	tío	xito	xito	12	1327	NA	NA	galindo-sanchez2009vocabulario	NA
12	abas11	MAN	hombre	chàa	chàa	13	1554	NA	NA	galindo-sanchez2009vocabulario	NA
13	abas11	WOMAN	mujer	ñà’an	ñà’an	14	962	NA	NA	galindo-sanchez2009vocabulario	NA
14	abas11	OWNER	dueño	sto’o	sto’o	15	1036	NA	NA	galindo-sanchez2009vocabulario	NA
15	abas11	PRIEST	sacerdote	sutu	sutu	16	852	NA	NA	galindo-sanchez2009vocabulario	NA
16	abas11	BLOOD	sangre	niì	niì	17	946	NA	NA	galindo-sanchez2009vocabulario	NA
17	abas11	HAIR	pelo	ixi	ixi	19	1040	NA	NA	galindo-sanchez2009vocabulario	NA
18	abas11	FACE	cara	nùù	nùù	20	1560	NA	NA	galindo-sanchez2009vocabulario	NA
19	abas11	TONGUE	lengua	yaá	yaá	21	1205	NA	NA	galindo-sanchez2009vocabulario	NA
20	abas11	TOOTH	diente	nu’u	nu’u	22	1380	NA	NA	galindo-sanchez2009vocabulario	NA
21	abas11	MOUTH	boca	yu’u	yu’u	23	674	NA	NA	galindo-sanchez2009vocabulario	NA
22	abas11	EAR	oreja	so’o	so’o	24	1247	NA	NA	galindo-sanchez2009vocabulario	NA
23	abas11	NOSE	nariz	xichi	xichi	25	1221	NA	NA	galindo-sanchez2009vocabulario	NA
24	abas11	NECK	cuello	sukú	sukú	26	1333	NA	NA	galindo-sanchez2009vocabulario	NA
25	abas11	HAND	mano	nta’á	nta’á	27	1277	NA	NA	galindo-sanchez2009vocabulario	NA
26	abas11	BACK	espalda	sata	sata	29	1291	NA	NA	galindo-sanchez2009vocabulario	NA
27	abas11	FOOT	pie	tsa’a	tsa’a	32	1301	NA	NA	galindo-sanchez2009vocabulario	NA
28	abas11	DISEASE	enfermedad	kue’é	kue’é	33	1986	NA	NA	galindo-sanchez2009vocabulario	NA
29	abas11	PIMPLE	grano	nti’í	nti’í	36	1809	NA	NA	galindo-sanchez2009vocabulario	NA
30	abas11	CLOTHES	tela, ropa	sa’ma	sa’ma	39	1895	NA	NA	galindo-sanchez2009vocabulario	NA
31	abas11	SANDAL	huarache	ntsítsa	ntsítsa	40	NA	NA	NA	galindo-sanchez2009vocabulario	NA
32	abas11	TROUSERS	pantalón	tsatu	tsatu	41	809	NA	NA	galindo-sanchez2009vocabulario	NA
33	abas11	TOWN OR VILLAGE	pueblo	ñuu	ñuu	43	3609	NA	NA	galindo-sanchez2009vocabulario	NA
34	abas11	HOUSE	casa	ve’e	ve’e	44	1252	NA	NA	galindo-sanchez2009vocabulario	NA
35	abas11	PATH	camino	ichi	ichi	45	2252	NA	NA	galindo-sanchez2009vocabulario	NA
36	abas11	POST	horcón	si’ìn	si’ìn	46	281	NA	NA	galindo-sanchez2009vocabulario	NA
37	abas11	MAT	petate	yuvi	yuvi	47	195	NA	NA	galindo-sanchez2009vocabulario	NA
38	abas11	BED	cama, lecho	tsíto	tsíto	48	1663	NA	NA	galindo-sanchez2009vocabulario	NA
39	abas11	STOOL	silla	chai	chai	49	2058	NA	NA	galindo-sanchez2009vocabulario	NA
40	abas11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	galindo-sanchez2009vocabulario	NA
41	abas11	BIRD	pájaro	saa	saa	51	937	NA	NA	galindo-sanchez2009vocabulario	NA
42	abas11	FISH	pez, pescado	chaká	chaká	52	227	NA	NA	galindo-sanchez2009vocabulario	NA
43	abas11	SNAKE	víbora	kòò	kòò	53	730	NA	NA	galindo-sanchez2009vocabulario	NA
44	abas11	FROG	rana	sa’va	sa’va	54	503	NA	NA	galindo-sanchez2009vocabulario	NA
45	abas11	HAWK	gavilán	xi’an	xi’an	55	307	NA	NA	galindo-sanchez2009vocabulario	NA
46	abas11	BEE	abeja	ñuñu	ñuñu	59	665	NA	NA	galindo-sanchez2009vocabulario	NA
47	abas11	MUROID (MOUSE OR RAT)	ratón, rata	ti’in	ti’in	60	2139	NA	NA	galindo-sanchez2009vocabulario	NA
48	abas11	DEER	venado	isu	isu	61	1936	NA	NA	galindo-sanchez2009vocabulario	NA
49	abas11	SQUIRREL	ardilla	ntikuain	nti-kuain	62	1628	NA	NA	galindo-sanchez2009vocabulario	NA
50	abas11	POSSUM	tlacuache	tsoko	tsoko	64	470	NA	NA	galindo-sanchez2009vocabulario	NA
51	abas11	RACCOON	mapache	ma’àn	ma’àn	65	828	NA	NA	galindo-sanchez2009vocabulario	NA
52	abas11	DOG	perro	tina	tina	68	2009	NA	NA	galindo-sanchez2009vocabulario	NA
53	abas11	CAT	gato	vilu	vilu	69	1208	NA	NA	galindo-sanchez2009vocabulario	NA
54	abas11	ROOSTER	gallo	to’lo	to’lo	70	1511	NA	NA	galindo-sanchez2009vocabulario	NA
55	abas11	HEN	gallina	chata	chata	71	1514	NA	NA	galindo-sanchez2009vocabulario	NA
56	abas11	PIG	marrano, puerco, cerdo	kìni	kìni	72	1337	NA	NA	galindo-sanchez2009vocabulario	NA
57	abas11	HORSE	caballo	kiti	kiti	73	615	NA	NA	galindo-sanchez2009vocabulario	NA
58	abas11	SHEEP	borrego, oveja	ntikachi	nti-kachi	74	1331	NA	NA	galindo-sanchez2009vocabulario	NA
59	abas11	ANT	hormiga	choko	choko	75	587	NA	NA	galindo-sanchez2009vocabulario	NA
60	abas11	HORN (ANATOMY)	cuerno	ntiki	ntiki	76	1393	NA	NA	galindo-sanchez2009vocabulario	NA
61	abas11	FEATHER	pluma	túmi	túmi	77	1201	NA	NA	galindo-sanchez2009vocabulario	NA
62	abas11	TAIL	cola	nto’o	nto’o	79	1220	NA	NA	galindo-sanchez2009vocabulario	NA
63	abas11	TREE	árbol	yutu	yutu	80	906	NA	NA	galindo-sanchez2009vocabulario	NA
64	abas11	HERBACEOUS PLANT	hierba	kù’ù	kù’ù	81	NA	NA	NA	galindo-sanchez2009vocabulario	NA
65	abas11	GRASS	zacate, pasto	icha	icha	82	606	NA	NA	galindo-sanchez2009vocabulario	NA
66	abas11	FLOWER	flor	ita	ita	83	239	NA	NA	galindo-sanchez2009vocabulario	NA
67	abas11	MAGUEY	maguey	yàvì	yàvì	84	NA	NA	NA	galindo-sanchez2009vocabulario	NA
68	abas11	ROOT	raíz	yo’o	yo’o	85	670	NA	NA	galindo-sanchez2009vocabulario	NA
69	abas11	THORN	espina	iñu	iñu	86	124	NA	NA	galindo-sanchez2009vocabulario	NA
70	abas11	CORN	maíz	nuni	nuni	87	506	NA	NA	galindo-sanchez2009vocabulario	NA
71	abas11	CORN FIELD	milpa	itu	itu	88	449	NA	NA	galindo-sanchez2009vocabulario	NA
72	abas11	EAR OF CORN (FRESH)	elote	ntíxi	ntíxi	89	NA	NA	NA	galindo-sanchez2009vocabulario	NA
73	abas11	NIXTAMAL	nixtamal	tsá’á	tsá’á	90	NA	NA	NA	galindo-sanchez2009vocabulario	NA
74	abas11	CORN DOUGH	masa	yutsa	yutsa	91	NA	NA	NA	galindo-sanchez2009vocabulario	NA
75	abas11	TORTILLA	tortilla	staa	staa	92	NA	NA	NA	galindo-sanchez2009vocabulario	NA
76	abas11	FURROW	surco	yuku	yuku	94	1794	NA	NA	galindo-sanchez2009vocabulario	NA
77	abas11	TASSEL	espiga	yòko	yòko	95	NA	NA	NA	galindo-sanchez2009vocabulario	NA
78	abas11	BEAN	frijol(es)	ntuchi	ntuchi	96	832	NA	NA	galindo-sanchez2009vocabulario	NA
79	abas11	GREEN BEAN	ejote	nchichi	nchichi	97	NA	NA	NA	galindo-sanchez2009vocabulario	NA
80	abas11	CHILI PEPPER	chile	ya’a	ya’a	98	919	NA	NA	galindo-sanchez2009vocabulario	NA
81	abas11	SALT	sal	iìn	iìn	99	1274	NA	NA	galindo-sanchez2009vocabulario	NA
82	abas11	PUMPKIN	calabaza	iki	iki	100	864	NA	NA	galindo-sanchez2009vocabulario	NA
83	abas11	CHAYOTE	chayote	naña	naña	101	NA	NA	NA	galindo-sanchez2009vocabulario	NA
84	abas11	SUGAR CANE	caña	ntòò	ntòò	102	146	NA	NA	galindo-sanchez2009vocabulario	NA
85	abas11	HONEY	miel	ntuxi	ntuxi	103	942	NA	NA	galindo-sanchez2009vocabulario	NA
86	abas11	FAT (FROM ANIMALS)	manteca	xa’an	xa’an	104	1282	NA	NA	galindo-sanchez2009vocabulario	NA
87	abas11	EGG	huevo	ntívi	ntívi	105	744	NA	NA	galindo-sanchez2009vocabulario	NA
88	abas11	SWEET POTATO	camote	ña’mi	ña’mi	107	159	NA	NA	galindo-sanchez2009vocabulario	NA
89	abas11	AVOCADO	aguacate	tichi	tichi	108	3725	NA	NA	galindo-sanchez2009vocabulario	NA
90	abas11	BANANA	plátano	nchikà	nchikà	109	868	NA	NA	galindo-sanchez2009vocabulario	NA
91	abas11	PRICKLY PEAR CACTUS	nopal	mi’ncha	mi’ncha	110	NA	NA	NA	galindo-sanchez2009vocabulario	NA
92	abas11	MUSHROOM	hongo	tsi’i	tsi’i	113	641	NA	NA	galindo-sanchez2009vocabulario	NA
93	abas11	MEAT	carne	kuñu	kuñu	114	634	NA	NA	galindo-sanchez2009vocabulario	NA
94	abas11	GRIDDLE	comal	tsio	tsio	115	NA	NA	NA	galindo-sanchez2009vocabulario	NA
95	abas11	COOKING POT	olla	kìsi	kìsi	116	3653	NA	NA	galindo-sanchez2009vocabulario	NA
96	abas11	OVEN	horno	tsìtù	tsìtù	117	1143	NA	NA	galindo-sanchez2009vocabulario	NA
97	abas11	FIRE	lumbre, fuego	ñu’un	ñu’un	118	221	NA	NA	galindo-sanchez2009vocabulario	NA
98	abas11	ASH	ceniza	yàà	yàà	119	646	NA	NA	galindo-sanchez2009vocabulario	NA
99	abas11	SMOKE (EXHAUST)	humo	ñu’ma	ñu’ma	121	778	NA	NA	galindo-sanchez2009vocabulario	NA
100	abas11	GARBAGE	basura	mi’í	mi’í	122	909	NA	NA	galindo-sanchez2009vocabulario	NA
101	abas11	PLATE	plato	ko’o	ko’o	123	480	NA	NA	galindo-sanchez2009vocabulario	NA
102	abas11	GOURD BOWL	jícara	yatsi	yatsi	124	NA	NA	NA	galindo-sanchez2009vocabulario	NA
103	abas11	BASKET	tenate	nto’ó	nto’ó	125	1539	NA	NA	galindo-sanchez2009vocabulario	NA
104	abas11	THREAD	hilo	yu’va	yu’va	127	1161	NA	NA	galindo-sanchez2009vocabulario	NA
105	abas11	COMB	peine	kuika	kuika	128	1475	NA	NA	galindo-sanchez2009vocabulario	NA
106	abas11	ROPE	cuerda	yo’o	yo’o	129	1218	NA	NA	galindo-sanchez2009vocabulario	NA
107	abas11	HOLE	hoyo	yavi	yavi	130	1667	NA	NA	galindo-sanchez2009vocabulario	NA
108	abas11	SOAP	jabón	nama	nama	132	788	NA	NA	galindo-sanchez2009vocabulario	NA
